City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,fort st. john,56.2499,-120.8529,1.94,64,75,4.63,CA,1702452808
310,kerikeri,-35.2268,173.9474,16.62,80,43,0.89,NZ,1702452808
311,magistral'nyy,56.1725,107.4458,-26.52,96,100,0.95,RU,1702452808
312,la ronge,55.1001,-105.2842,-6.86,73,75,4.12,CA,1702452808
313,tamiahua,21.2667,-97.45,17.26,85,94,3.2,MX,1702452809
314,recreo,-29.2818,-65.061,27.63,62,0,5.0,AR,1702452809
315,kitgum,3.2783,32.8867,30.27,43,23,2.2,UG,1702452809
316,cidreira,-30.1811,-50.2056,20.84,90,3,7.35,BR,1702452809
317,huetamo de nunez,18.5833,-100.8833,22.28,66,100,0.64,MX,1702452809
318,nar'yan-mar,67.6713,53.087,-18.27,98,100,4.02,RU,1702452810
319,santa ana,33.7456,-117.8678,14.14,86,20,1.54,US,1702452772
320,bonthe,7.5264,-12.505,24.89,84,2,2.83,SL,1702452810
321,ingeniero luis a. huergo,-39.0833,-67.2333,14.38,20,0,2.76,AR,1702452810
322,mantenopolis,-18.8625,-41.1228,21.18,89,100,1.72,BR,1702452810
323,tazacorte,28.629,-17.9293,19.54,37,2,4.47,ES,1702452811
324,porto novo,6.4965,2.6036,23.9,29,55,3.28,BJ,1702452811
325,nadym,65.5333,72.5167,-15.75,96,94,3.82,RU,1702452811
326,sakaiminato,35.55,133.2333,11.99,58,20,7.72,JP,1702452812
327,mondlo,-27.983,30.7177,17.17,78,96,3.28,ZA,1702452812
328,val-d'or,48.1002,-77.7828,-10.95,79,40,2.57,CA,1702452527
329,waddan,29.1614,16.139,17.06,34,0,1.51,LY,1702452812
330,mananjary,-21.2167,48.3333,30.62,60,100,3.95,MG,1702452813
331,ngereklmadel,7.4883,134.4856,30.05,74,75,5.14,PW,1702452813
332,mount gambier,-37.8333,140.7667,20.06,62,73,5.1,AU,1702452813
333,cide,41.8921,33.0044,11.24,74,82,3.66,TR,1702452813
334,sal rei,16.1833,-22.9167,21.11,83,22,3.09,CV,1702452813
335,zakynthos,37.7914,20.8953,13.13,100,40,0.0,GR,1702452814
336,tazovsky,67.4667,78.7,-19.43,98,99,2.38,RU,1702452814
337,antigonish,45.6169,-61.9986,0.46,77,11,4.5,CA,1702452814
338,port hedland,-20.3167,118.5667,36.03,30,0,7.72,AU,1702452689
339,basse-terre,16.1667,-61.6667,22.55,88,0,1.03,GP,1702452815
340,donggang,28.9365,114.2259,17.31,66,45,1.0,CN,1702452815
341,saudarkrokur,65.7461,-19.6394,2.5,84,100,4.18,IS,1702452815
342,uzgen,40.7699,73.3007,-7.84,81,12,0.62,KG,1702452815
343,korablino,53.9164,40.0133,-11.38,94,100,7.03,RU,1702452815
344,laguna,38.421,-121.4238,10.06,86,0,2.06,US,1702452592
345,huilong,31.8111,121.655,12.96,75,100,4.42,CN,1702452816
346,touros,-5.1989,-35.4608,26.25,75,28,7.42,BR,1702452816
347,selkirk,50.1436,-96.8845,-9.96,87,41,1.79,CA,1702452615
348,pisco,-13.7,-76.2167,20.03,83,0,3.09,PE,1702452758
349,midvagur,62.0511,-7.1939,2.46,93,40,0.51,FO,1702452816
350,muborak,39.2553,65.1528,3.88,44,33,4.69,UZ,1702452816
351,sola,-13.8833,167.55,26.63,67,85,8.71,VU,1702452817
352,thunder bay,48.4001,-89.3168,-10.01,67,0,4.63,CA,1702452537
353,hauterive,46.0901,3.4459,10.42,85,100,4.07,FR,1702452817
354,east london,-33.0153,27.9116,17.52,94,100,4.12,ZA,1702452610
355,prado,-17.3411,-39.2208,23.35,88,99,2.79,BR,1702452818
356,bamboo flat,11.7,92.7167,31.05,70,40,3.6,IN,1702452818
357,phichit,16.25,100.4167,32.78,77,48,0.52,TH,1702452818
358,vila velha,-20.3297,-40.2925,23.97,86,75,2.57,BR,1702452818
359,malango,-2.9627,119.9001,24.53,92,77,0.17,ID,1702452818
360,mitu,1.1983,-70.1733,22.43,99,89,0.24,CO,1702452818
361,hotan,37.0997,79.9269,6.61,13,0,4.04,CN,1702452819
